number|name|form|mainType|subType|totalBaseStat|hpBaseStat|attackBaseStat|defenseBaseStat|specialAttackBaseStat|specialDefenseBaseStat|speedBaseStat|imageUrl
016|Pidgey||Normal|Flying|251|40|45|40|35|35|56|https://img.pokemondb.net/sprites/sun-moon/icon/pidgey.png
017|Pidgeotto||Normal|Flying|349|63|60|55|50|50|71|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeotto.png
018|Pidgeot||Normal|Flying|479|83|80|75|70|70|101|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeot.png
018|Pidgeot|Mega Pidgeot|Normal|Flying|579|83|80|80|135|80|121|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeot-mega.png
019|Rattata||Normal||253|30|56|35|25|35|72|https://img.pokemondb.net/sprites/sun-moon/icon/rattata.png
019|Rattata|Alolan Rattata|Dark|Normal|253|30|56|35|25|35|72|https://img.pokemondb.net/sprites/sun-moon/icon/rattata-alolan.png
020|Raticate||Normal||413|55|81|60|50|70|97|https://img.pokemondb.net/sprites/sun-moon/icon/raticate.png
020|Raticate|Alolan Raticate|Dark|Normal|413|75|71|70|40|80|77|https://img.pokemondb.net/sprites/sun-moon/icon/raticate-alolan.png
021|Spearow||Normal|Flying|262|40|60|30|31|31|70|https://img.pokemondb.net/sprites/sun-moon/icon/spearow.png
022|Fearow||Normal|Flying|442|65|90|65|61|61|100|https://img.pokemondb.net/sprites/sun-moon/icon/fearow.png
023|Ekans||Poison||288|35|60|44|40|54|55|https://img.pokemondb.net/sprites/sun-moon/icon/ekans.png
024|Arbok||Poison||448|60|95|69|65|79|80|https://img.pokemondb.net/sprites/sun-moon/icon/arbok.png
025|Pikachu||Electric||320|35|55|40|50|50|90|https://img.pokemondb.net/sprites/sun-moon/icon/pikachu.png
025|Pikachu|Partner Pikachu|Electric||430|45|80|50|75|60|120|https://img.pokemondb.net/sprites/sun-moon/icon/pikachu-lets-go.png
026|Raichu||Electric||485|60|90|55|90|80|110|https://img.pokemondb.net/sprites/sun-moon/icon/raichu.png
026|Raichu|Alolan Raichu|Electric|Psychic|485|60|85|50|95|85|110|https://img.pokemondb.net/sprites/sun-moon/icon/raichu-alolan.png
027|Sandshrew||Ground||300|50|75|85|20|30|40|https://img.pokemondb.net/sprites/sun-moon/icon/sandshrew.png
027|Sandshrew|Alolan Sandshrew|Ice|Steel|300|50|75|90|10|35|40|https://img.pokemondb.net/sprites/sun-moon/icon/sandshrew-alolan.png
028|Sandslash||Ground||450|75|100|110|45|55|65|https://img.pokemondb.net/sprites/sun-moon/icon/sandslash.png
028|Sandslash|Alolan Sandslash|Ice|Steel|450|75|100|120|25|65|65|https://img.pokemondb.net/sprites/sun-moon/icon/sandslash-alolan.png
029|Nidoran♀||Poison||275|55|47|52|40|40|41|https://img.pokemondb.net/sprites/sun-moon/icon/nidoran-f.png
030|Nidorina||Poison||365|70|62|67|55|55|56|https://img.pokemondb.net/sprites/sun-moon/icon/nidorina.png
031|Nidoqueen||Poison|Ground|505|90|92|87|75|85|76|https://img.pokemondb.net/sprites/sun-moon/icon/nidoqueen.png
032|Nidoran♂||Poison||273|46|57|40|40|40|50|https://img.pokemondb.net/sprites/sun-moon/icon/nidoran-m.png
033|Nidorino||Poison||365|61|72|57|55|55|65|https://img.pokemondb.net/sprites/sun-moon/icon/nidorino.png
034|Nidoking||Poison|Ground|505|81|102|77|85|75|85|https://img.pokemondb.net/sprites/sun-moon/icon/nidoking.png
035|Clefairy||Fairy||323|70|45|48|60|65|35|https://img.pokemondb.net/sprites/sun-moon/icon/clefairy.png
036|Clefable||Fairy||483|95|70|73|95|90|60|https://img.pokemondb.net/sprites/sun-moon/icon/clefable.png
037|Vulpix||Fire||299|38|41|40|50|65|65|https://img.pokemondb.net/sprites/sun-moon/icon/vulpix.png
037|Vulpix|Alolan Vulpix|Ice||299|38|41|40|50|65|65|https://img.pokemondb.net/sprites/sun-moon/icon/vulpix-alolan.png
038|Ninetales||Fire||505|73|76|75|81|100|100|https://img.pokemondb.net/sprites/sun-moon/icon/ninetales.png
038|Ninetales|Alolan Ninetales|Ice|Fairy|505|73|67|75|81|100|109|https://img.pokemondb.net/sprites/sun-moon/icon/ninetales-alolan.png
039|Jigglypuff||Normal|Fairy|270|115|45|20|45|25|20|https://img.pokemondb.net/sprites/sun-moon/icon/jigglypuff.png
040|Wigglytuff||Normal|Fairy|435|140|70|45|85|50|45|https://img.pokemondb.net/sprites/sun-moon/icon/wigglytuff.png
041|Zubat||Poison|Flying|245|40|45|35|30|40|55|https://img.pokemondb.net/sprites/sun-moon/icon/zubat.png
042|Golbat||Poison|Flying|455|75|80|70|65|75|90|https://img.pokemondb.net/sprites/sun-moon/icon/golbat.png
043|Oddish||Grass|Poison|320|45|50|55|75|65|30|https://img.pokemondb.net/sprites/sun-moon/icon/oddish.png
044|Gloom||Grass|Poison|395|60|65|70|85|75|40|https://img.pokemondb.net/sprites/sun-moon/icon/gloom.png
045|Vileplume||Grass|Poison|490|75|80|85|110|90|50|https://img.pokemondb.net/sprites/sun-moon/icon/vileplume.png
046|Paras||Bug|Grass|285|35|70|55|45|55|25|https://img.pokemondb.net/sprites/sun-moon/icon/paras.png
047|Parasect||Bug|Grass|405|60|95|80|60|80|30|https://img.pokemondb.net/sprites/sun-moon/icon/parasect.png
048|Venonat||Bug|Poison|305|60|55|50|40|55|45|https://img.pokemondb.net/sprites/sun-moon/icon/venonat.png
049|Venomoth||Bug|Poison|450|70|65|60|90|75|90|https://img.pokemondb.net/sprites/sun-moon/icon/venomoth.png
050|Diglett||Ground||265|10|55|25|35|45|95|https://img.pokemondb.net/sprites/sun-moon/icon/diglett.png
050|Diglett|Alolan Diglett|Ground|Steel|265|10|55|30|35|45|90|https://img.pokemondb.net/sprites/sun-moon/icon/diglett-alolan.png
051|Dugtrio||Ground||425|35|100|50|50|70|120|https://img.pokemondb.net/sprites/sun-moon/icon/dugtrio.png
051|Dugtrio|Alolan Dugtrio|Ground|Steel|425|35|100|60|50|70|110|https://img.pokemondb.net/sprites/sun-moon/icon/dugtrio-alolan.png
052|Meowth||Normal||290|40|45|35|40|40|90|https://img.pokemondb.net/sprites/sun-moon/icon/meowth.png
052|Meowth|Alolan Meowth|Dark||290|40|35|35|50|40|90|https://img.pokemondb.net/sprites/sun-moon/icon/meowth-alolan.png
053|Persian||Normal||440|65|70|60|65|65|115|https://img.pokemondb.net/sprites/sun-moon/icon/persian.png
053|Persian|Alolan Persian|Dark||440|65|60|60|75|65|115|https://img.pokemondb.net/sprites/sun-moon/icon/persian-alolan.png
054|Psyduck||Water||320|50|52|48|65|50|55|https://img.pokemondb.net/sprites/sun-moon/icon/psyduck.png
055|Golduck||Water||500|80|82|78|95|80|85|https://img.pokemondb.net/sprites/sun-moon/icon/golduck.png
056|Mankey||Fighting||305|40|80|35|35|45|70|https://img.pokemondb.net/sprites/sun-moon/icon/mankey.png
057|Primeape||Fighting||455|65|105|60|60|70|95|https://img.pokemondb.net/sprites/sun-moon/icon/primeape.png
058|Growlithe||Fire||350|55|70|45|70|50|60|https://img.pokemondb.net/sprites/sun-moon/icon/growlithe.png
059|Arcanine||Fire||555|90|110|80|100|80|95|https://img.pokemondb.net/sprites/sun-moon/icon/arcanine.png
060|Poliwag||Water||300|40|50|40|40|40|90|https://img.pokemondb.net/sprites/sun-moon/icon/poliwag.png
061|Poliwhirl||Water||385|65|65|65|50|50|90|https://img.pokemondb.net/sprites/sun-moon/icon/poliwhirl.png
062|Poliwrath||Water|Fighting|510|90|95|95|70|90|70|https://img.pokemondb.net/sprites/sun-moon/icon/poliwrath.png
063|Abra||Psychic||310|25|20|15|105|55|90|https://img.pokemondb.net/sprites/sun-moon/icon/abra.png
064|Kadabra||Psychic||400|40|35|30|120|70|105|https://img.pokemondb.net/sprites/sun-moon/icon/kadabra.png
065|Alakazam||Psychic||500|55|50|45|135|95|120|https://img.pokemondb.net/sprites/sun-moon/icon/alakazam.png
065|Alakazam|Mega Alakazam|Psychic||600|55|50|65|175|105|150|https://img.pokemondb.net/sprites/sun-moon/icon/alakazam-mega.png
066|Machop||Fighting||305|70|80|50|35|35|35|https://img.pokemondb.net/sprites/sun-moon/icon/machop.png
067|Machoke||Fighting||405|80|100|70|50|60|45|https://img.pokemondb.net/sprites/sun-moon/icon/machoke.png
068|Machamp||Fighting||505|90|130|80|65|85|55|https://img.pokemondb.net/sprites/sun-moon/icon/machamp.png
069|Bellsprout||Grass|Poison|300|50|75|35|70|30|40|https://img.pokemondb.net/sprites/sun-moon/icon/bellsprout.png
070|Weepinbell||Grass|Poison|390|65|90|50|85|45|55|https://img.pokemondb.net/sprites/sun-moon/icon/weepinbell.png
071|Victreebel||Grass|Poison|490|80|105|65|100|70|70|https://img.pokemondb.net/sprites/sun-moon/icon/victreebel.png
072|Tentacool||Water|Poison|335|40|40|35|50|100|70|https://img.pokemondb.net/sprites/sun-moon/icon/tentacool.png
073|Tentacruel||Water|Poison|515|80|70|65|80|120|100|https://img.pokemondb.net/sprites/sun-moon/icon/tentacruel.png
074|Geodude||Rock|Ground|300|40|80|100|30|30|20|https://img.pokemondb.net/sprites/sun-moon/icon/geodude.png
074|Geodude|Alolan Geodude|Rock|Electric|300|40|80|100|30|30|20|https://img.pokemondb.net/sprites/sun-moon/icon/geodude-alolan.png
075|Graveler||Rock|Ground|390|55|95|115|45|45|35|https://img.pokemondb.net/sprites/sun-moon/icon/graveler.png
075|Graveler|Alolan Graveler|Rock|Electric|390|55|95|115|45|45|35|https://img.pokemondb.net/sprites/sun-moon/icon/graveler-alolan.png
076|Golem||Rock|Ground|495|80|120|130|55|65|45|https://img.pokemondb.net/sprites/sun-moon/icon/golem.png
076|Golem|Alolan Golem|Rock|Electric|495|80|120|130|55|65|45|https://img.pokemondb.net/sprites/sun-moon/icon/golem-alolan.png
077|Ponyta||Fire||410|50|85|55|65|65|90|https://img.pokemondb.net/sprites/sun-moon/icon/ponyta.png
078|Rapidash||Fire||500|65|100|70|80|80|105|https://img.pokemondb.net/sprites/sun-moon/icon/rapidash.png
079|Slowpoke||Water|Psychic|315|90|65|65|40|40|15|https://img.pokemondb.net/sprites/sun-moon/icon/slowpoke.png
080|Slowbro||Water|Psychic|490|95|75|110|100|80|30|https://img.pokemondb.net/sprites/sun-moon/icon/slowbro.png
080|Slowbro|Mega Slowbro|Water|Psychic|590|95|75|180|130|80|30|https://img.pokemondb.net/sprites/sun-moon/icon/slowbro-mega.png
081|Magnemite||Electric|Steel|325|25|35|70|95|55|45|https://img.pokemondb.net/sprites/sun-moon/icon/magnemite.png
082|Magneton||Electric|Steel|465|50|60|95|120|70|70|https://img.pokemondb.net/sprites/sun-moon/icon/magneton.png
083|Farfetch'd||Normal|Flying|377|52|90|55|58|62|60|https://img.pokemondb.net/sprites/sun-moon/icon/farfetchd.png
084|Doduo||Normal|Flying|310|35|85|45|35|35|75|https://img.pokemondb.net/sprites/sun-moon/icon/doduo.png
085|Dodrio||Normal|Flying|470|60|110|70|60|60|110|https://img.pokemondb.net/sprites/sun-moon/icon/dodrio.png
086|Seel||Water||325|65|45|55|45|70|45|https://img.pokemondb.net/sprites/sun-moon/icon/seel.png
087|Dewgong||Water|Ice|475|90|70|80|70|95|70|https://img.pokemondb.net/sprites/sun-moon/icon/dewgong.png
088|Grimer||Poison||325|80|80|50|40|50|25|https://img.pokemondb.net/sprites/sun-moon/icon/grimer.png
088|Grimer|Alolan Grimer|Poison|Dark|325|80|80|50|40|50|25|https://img.pokemondb.net/sprites/sun-moon/icon/grimer-alolan.png
089|Muk||Poison||500|105|105|75|65|100|50|https://img.pokemondb.net/sprites/sun-moon/icon/muk.png
089|Muk|Alolan Muk|Poison|Dark|500|105|105|75|65|100|50|https://img.pokemondb.net/sprites/sun-moon/icon/muk-alolan.png
090|Shellder||Water||305|30|65|100|45|25|40|https://img.pokemondb.net/sprites/sun-moon/icon/shellder.png
091|Cloyster||Water|Ice|525|50|95|180|85|45|70|https://img.pokemondb.net/sprites/sun-moon/icon/cloyster.png
092|Gastly||Ghost|Poison|310|30|35|30|100|35|80|https://img.pokemondb.net/sprites/sun-moon/icon/gastly.png
093|Haunter||Ghost|Poison|405|45|50|45|115|55|95|https://img.pokemondb.net/sprites/sun-moon/icon/haunter.png
094|Gengar||Ghost|Poison|500|60|65|60|130|75|110|https://img.pokemondb.net/sprites/sun-moon/icon/gengar.png
094|Gengar|Mega Gengar|Ghost|Poison|600|60|65|80|170|95|130|https://img.pokemondb.net/sprites/sun-moon/icon/gengar-mega.png
095|Onix||Rock|Ground|385|35|45|160|30|45|70|https://img.pokemondb.net/sprites/sun-moon/icon/onix.png
096|Drowzee||Psychic||328|60|48|45|43|90|42|https://img.pokemondb.net/sprites/sun-moon/icon/drowzee.png
097|Hypno||Psychic||483|85|73|70|73|115|67|https://img.pokemondb.net/sprites/sun-moon/icon/hypno.png
098|Krabby||Water||325|30|105|90|25|25|50|https://img.pokemondb.net/sprites/sun-moon/icon/krabby.png
099|Kingler||Water||475|55|130|115|50|50|75|https://img.pokemondb.net/sprites/sun-moon/icon/kingler.png
100|Voltorb||Electric||330|40|30|50|55|55|100|https://img.pokemondb.net/sprites/sun-moon/icon/voltorb.png
101|Electrode||Electric||490|60|50|70|80|80|150|https://img.pokemondb.net/sprites/sun-moon/icon/electrode.png
102|Exeggcute||Grass|Psychic|325|60|40|80|60|45|40|https://img.pokemondb.net/sprites/sun-moon/icon/exeggcute.png
103|Exeggutor||Grass|Psychic|530|95|95|85|125|75|55|https://img.pokemondb.net/sprites/sun-moon/icon/exeggutor.png
103|Exeggutor|Alolan Exeggutor|Grass|Dragon|530|95|105|85|125|75|45|https://img.pokemondb.net/sprites/sun-moon/icon/exeggutor-alolan.png
104|Cubone||Ground||320|50|50|95|40|50|35|https://img.pokemondb.net/sprites/sun-moon/icon/cubone.png
105|Marowak||Ground||425|60|80|110|50|80|45|https://img.pokemondb.net/sprites/sun-moon/icon/marowak.png
105|Marowak|Alolan Marowak|Fire|Ghost|425|60|80|110|50|80|45|https://img.pokemondb.net/sprites/sun-moon/icon/marowak-alolan.png
106|Hitmonlee||Fighting||455|50|120|53|35|110|87|https://img.pokemondb.net/sprites/sun-moon/icon/hitmonlee.png
107|Hitmonchan||Fighting||455|50|105|79|35|110|76|https://img.pokemondb.net/sprites/sun-moon/icon/hitmonchan.png
108|Lickitung||Normal||385|90|55|75|60|75|30|https://img.pokemondb.net/sprites/sun-moon/icon/lickitung.png
109|Koffing||Poison||340|40|65|95|60|45|35|https://img.pokemondb.net/sprites/sun-moon/icon/koffing.png
110|Weezing||Poison||490|65|90|120|85|70|60|https://img.pokemondb.net/sprites/sun-moon/icon/weezing.png
111|Rhyhorn||Ground|Rock|345|80|85|95|30|30|25|https://img.pokemondb.net/sprites/sun-moon/icon/rhyhorn.png
112|Rhydon||Ground|Rock|485|105|130|120|45|45|40|https://img.pokemondb.net/sprites/sun-moon/icon/rhydon.png
113|Chansey||Normal||450|250|5|5|35|105|50|https://img.pokemondb.net/sprites/sun-moon/icon/chansey.png
114|Tangela||Grass||435|65|55|115|100|40|60|https://img.pokemondb.net/sprites/sun-moon/icon/tangela.png
115|Kangaskhan||Normal||490|105|95|80|40|80|90|https://img.pokemondb.net/sprites/sun-moon/icon/kangaskhan.png
115|Kangaskhan|Mega Kangaskhan|Normal||590|105|125|100|60|100|100|https://img.pokemondb.net/sprites/sun-moon/icon/kangaskhan-mega.png
116|Horsea||Water||295|30|40|70|70|25|60|https://img.pokemondb.net/sprites/sun-moon/icon/horsea.png
117|Seadra||Water||440|55|65|95|95|45|85|https://img.pokemondb.net/sprites/sun-moon/icon/seadra.png
118|Goldeen||Water||320|45|67|60|35|50|63|https://img.pokemondb.net/sprites/sun-moon/icon/goldeen.png
119|Seaking||Water||450|80|92|65|65|80|68|https://img.pokemondb.net/sprites/sun-moon/icon/seaking.png
120|Staryu||Water||340|30|45|55|70|55|85|https://img.pokemondb.net/sprites/sun-moon/icon/staryu.png
121|Starmie||Water|Psychic|520|60|75|85|100|85|115|https://img.pokemondb.net/sprites/sun-moon/icon/starmie.png
122|Mr. Mime||Psychic|Fairy|460|40|45|65|100|120|90|https://img.pokemondb.net/sprites/sun-moon/icon/mr-mime.png
123|Scyther||Bug|Flying|500|70|110|80|55|80|105|https://img.pokemondb.net/sprites/sun-moon/icon/scyther.png
124|Jynx||Ice|Psychic|455|65|50|35|115|95|95|https://img.pokemondb.net/sprites/sun-moon/icon/jynx.png
125|Electabuzz||Electric||490|65|83|57|95|85|105|https://img.pokemondb.net/sprites/sun-moon/icon/electabuzz.png
126|Magmar||Fire||495|65|95|57|100|85|93|https://img.pokemondb.net/sprites/sun-moon/icon/magmar.png
127|Pinsir||Bug||500|65|125|100|55|70|85|https://img.pokemondb.net/sprites/sun-moon/icon/pinsir.png
127|Pinsir|Mega Pinsir|Bug|Flying|600|65|155|120|65|90|105|https://img.pokemondb.net/sprites/sun-moon/icon/pinsir-mega.png
128|Tauros||Normal||490|75|100|95|40|70|110|https://img.pokemondb.net/sprites/sun-moon/icon/tauros.png
129|Magikarp||Water||200|20|10|55|15|20|80|https://img.pokemondb.net/sprites/sun-moon/icon/magikarp.png
130|Gyarados||Water|Flying|540|95|125|79|60|100|81|https://img.pokemondb.net/sprites/sun-moon/icon/gyarados.png
130|Gyarados|Mega Gyarados|Water|Dark|640|95|155|109|70|130|81|https://img.pokemondb.net/sprites/sun-moon/icon/gyarados-mega.png
131|Lapras||Water|Ice|535|130|85|80|85|95|60|https://img.pokemondb.net/sprites/sun-moon/icon/lapras.png
132|Ditto||Normal||288|48|48|48|48|48|48|https://img.pokemondb.net/sprites/sun-moon/icon/ditto.png
133|Eevee||Normal||325|55|55|50|45|65|55|https://img.pokemondb.net/sprites/sun-moon/icon/eevee.png
133|Eevee|Partner Eevee|Normal||435|65|75|70|65|85|75|https://img.pokemondb.net/sprites/sun-moon/icon/eevee-lets-go.png
134|Vaporeon||Water||525|130|65|60|110|95|65|https://img.pokemondb.net/sprites/sun-moon/icon/vaporeon.png
135|Jolteon||Electric||525|65|65|60|110|95|130|https://img.pokemondb.net/sprites/sun-moon/icon/jolteon.png
136|Flareon||Fire||525|65|130|60|95|110|65|https://img.pokemondb.net/sprites/sun-moon/icon/flareon.png
137|Porygon||Normal||395|65|60|70|85|75|40|https://img.pokemondb.net/sprites/sun-moon/icon/porygon.png
138|Omanyte||Rock|Water|355|35|40|100|90|55|35|https://img.pokemondb.net/sprites/sun-moon/icon/omanyte.png
139|Omastar||Rock|Water|495|70|60|125|115|70|55|https://img.pokemondb.net/sprites/sun-moon/icon/omastar.png
140|Kabuto||Rock|Water|355|30|80|90|55|45|55|https://img.pokemondb.net/sprites/sun-moon/icon/kabuto.png
141|Kabutops||Rock|Water|495|60|115|105|65|70|80|https://img.pokemondb.net/sprites/sun-moon/icon/kabutops.png
142|Aerodactyl||Rock|Flying|515|80|105|65|60|75|130|https://img.pokemondb.net/sprites/sun-moon/icon/aerodactyl.png
142|Aerodactyl|Mega Aerodactyl|Rock|Flying|615|80|135|85|70|95|150|https://img.pokemondb.net/sprites/sun-moon/icon/aerodactyl-mega.png
143|Snorlax||Normal||540|160|110|65|65|110|30|https://img.pokemondb.net/sprites/sun-moon/icon/snorlax.png
144|Articuno||Ice|Flying|580|90|85|100|95|125|85|https://img.pokemondb.net/sprites/sun-moon/icon/articuno.png
145|Zapdos||Electric|Flying|580|90|90|85|125|90|100|https://img.pokemondb.net/sprites/sun-moon/icon/zapdos.png
146|Moltres||Fire|Flying|580|90|100|90|125|85|90|https://img.pokemondb.net/sprites/sun-moon/icon/moltres.png
147|Dratini||Dragon||300|41|64|45|50|50|50|https://img.pokemondb.net/sprites/sun-moon/icon/dratini.png
148|Dragonair||Dragon||420|61|84|65|70|70|70|https://img.pokemondb.net/sprites/sun-moon/icon/dragonair.png
149|Dragonite||Dragon|Flying|600|91|134|95|100|100|80|https://img.pokemondb.net/sprites/sun-moon/icon/dragonite.png
150|Mewtwo||Psychic||680|106|110|90|154|90|130|https://img.pokemondb.net/sprites/sun-moon/icon/mewtwo.png
150|Mewtwo|Mega Mewtwo X|Psychic|Fighting|780|106|190|100|154|100|130|https://img.pokemondb.net/sprites/sun-moon/icon/mewtwo-mega-x.png
150|Mewtwo|Mega Mewtwo Y|Psychic||780|106|150|70|194|120|140|https://img.pokemondb.net/sprites/sun-moon/icon/mewtwo-mega-y.png
151|Mew||Psychic||600|100|100|100|100|100|100|https://img.pokemondb.net/sprites/sun-moon/icon/mew.png
152|Chikorita||Grass||318|45|49|65|49|65|45|https://img.pokemondb.net/sprites/sun-moon/icon/chikorita.png
153|Bayleef||Grass||405|60|62|80|63|80|60|https://img.pokemondb.net/sprites/sun-moon/icon/bayleef.png
154|Meganium||Grass||525|80|82|100|83|100|80|https://img.pokemondb.net/sprites/sun-moon/icon/meganium.png
155|Cyndaquil||Fire||309|39|52|43|60|50|65|https://img.pokemondb.net/sprites/sun-moon/icon/cyndaquil.png
156|Quilava||Fire||405|58|64|58|80|65|80|https://img.pokemondb.net/sprites/sun-moon/icon/quilava.png
157|Typhlosion||Fire||534|78|84|78|109|85|100|https://img.pokemondb.net/sprites/sun-moon/icon/typhlosion.png
158|Totodile||Water||314|50|65|64|44|48|43|https://img.pokemondb.net/sprites/sun-moon/icon/totodile.png
159|Croconaw||Water||405|65|80|80|59|63|58|https://img.pokemondb.net/sprites/sun-moon/icon/croconaw.png
160|Feraligatr||Water||530|85|105|100|79|83|78|https://img.pokemondb.net/sprites/sun-moon/icon/feraligatr.png
161|Sentret||Normal||215|35|46|34|35|45|20|https://img.pokemondb.net/sprites/sun-moon/icon/sentret.png
162|Furret||Normal||415|85|76|64|45|55|90|https://img.pokemondb.net/sprites/sun-moon/icon/furret.png
163|Hoothoot||Normal|Flying|262|60|30|30|36|56|50|https://img.pokemondb.net/sprites/sun-moon/icon/hoothoot.png
164|Noctowl||Normal|Flying|452|100|50|50|86|96|70|https://img.pokemondb.net/sprites/sun-moon/icon/noctowl.png
165|Ledyba||Bug|Flying|265|40|20|30|40|80|55|https://img.pokemondb.net/sprites/sun-moon/icon/ledyba.png
166|Ledian||Bug|Flying|390|55|35|50|55|110|85|https://img.pokemondb.net/sprites/sun-moon/icon/ledian.png
167|Spinarak||Bug|Poison|250|40|60|40|40|40|30|https://img.pokemondb.net/sprites/sun-moon/icon/spinarak.png
168|Ariados||Bug|Poison|400|70|90|70|60|70|40|https://img.pokemondb.net/sprites/sun-moon/icon/ariados.png
169|Crobat||Poison|Flying|535|85|90|80|70|80|130|https://img.pokemondb.net/sprites/sun-moon/icon/crobat.png
170|Chinchou||Water|Electric|330|75|38|38|56|56|67|https://img.pokemondb.net/sprites/sun-moon/icon/chinchou.png
171|Lanturn||Water|Electric|460|125|58|58|76|76|67|https://img.pokemondb.net/sprites/sun-moon/icon/lanturn.png
172|Pichu||Electric||205|20|40|15|35|35|60|https://img.pokemondb.net/sprites/sun-moon/icon/pichu.png
173|Cleffa||Fairy||218|50|25|28|45|55|15|https://img.pokemondb.net/sprites/sun-moon/icon/cleffa.png
174|Igglybuff||Normal|Fairy|210|90|30|15|40|20|15|https://img.pokemondb.net/sprites/sun-moon/icon/igglybuff.png
175|Togepi||Fairy||245|35|20|65|40|65|20|https://img.pokemondb.net/sprites/sun-moon/icon/togepi.png
176|Togetic||Fairy|Flying|405|55|40|85|80|105|40|https://img.pokemondb.net/sprites/sun-moon/icon/togetic.png
177|Natu||Psychic|Flying|320|40|50|45|70|45|70|https://img.pokemondb.net/sprites/sun-moon/icon/natu.png
178|Xatu||Psychic|Flying|470|65|75|70|95|70|95|https://img.pokemondb.net/sprites/sun-moon/icon/xatu.png
179|Mareep||Electric||280|55|40|40|65|45|35|https://img.pokemondb.net/sprites/sun-moon/icon/mareep.png
180|Flaaffy||Electric||365|70|55|55|80|60|45|https://img.pokemondb.net/sprites/sun-moon/icon/flaaffy.png
181|Ampharos||Electric||510|90|75|85|115|90|55|https://img.pokemondb.net/sprites/sun-moon/icon/ampharos.png
181|Ampharos|Mega Ampharos|Electric|Dragon|610|90|95|105|165|110|45|https://img.pokemondb.net/sprites/sun-moon/icon/ampharos-mega.png
182|Bellossom||Grass||490|75|80|95|90|100|50|https://img.pokemondb.net/sprites/sun-moon/icon/bellossom.png
183|Marill||Water|Fairy|250|70|20|50|20|50|40|https://img.pokemondb.net/sprites/sun-moon/icon/marill.png
184|Azumarill||Water|Fairy|420|100|50|80|60|80|50|https://img.pokemondb.net/sprites/sun-moon/icon/azumarill.png
185|Sudowoodo||Rock||410|70|100|115|30|65|30|https://img.pokemondb.net/sprites/sun-moon/icon/sudowoodo.png
186|Politoed||Water||500|90|75|75|90|100|70|https://img.pokemondb.net/sprites/sun-moon/icon/politoed.png
187|Hoppip||Grass|Flying|250|35|35|40|35|55|50|https://img.pokemondb.net/sprites/sun-moon/icon/hoppip.png
188|Skiploom||Grass|Flying|340|55|45|50|45|65|80|https://img.pokemondb.net/sprites/sun-moon/icon/skiploom.png
